tag,test_acc,test_auroc,test_f1,val_auroc,train_auroc,feature_dim,n_folds,baseline_acc
D_K10_thresh_acc_l12,0.7576939471440751,0.7512996031746033,0.8408030169311266,0.7272452547452548,0.842563256223897,1792,10,0.7010230179028134
A_K10_l12_lt16,0.756223358908781,0.7512996031746033,0.8402210063491159,0.7272452547452548,0.842563256223897,1792,10,0.7010230179028134
F_K10_l12_lt16_clean,0.756223358908781,0.7512996031746033,0.8402210063491159,0.7272452547452548,0.842563256223897,1792,10,0.7010230179028134
D_K10_thresh_balacc_l12,0.7066922421142369,0.7512996031746033,0.7793038092646214,0.7272452547452548,0.842563256223897,1792,10,0.7010230179028134
F_K10_l12_lvm_seed3,0.7489343563512361,0.750611536281179,0.8415975812339788,0.729079254079254,0.8594849547466735,1842,10,0.7010230179028134
F_K10_l12_fullcombo_seed5,0.740153452685422,0.7503493480725624,0.838200701917646,0.7297943722943723,0.9058101144822297,3584,10,0.7010230179028134
E_RK10x2_l12_lt16,0.7569160272804776,0.7499390589569161,0.8427642408646647,0.7277418414918415,0.8558958285356107,1792,20,0.7010230179028132
E_RK10x2_thresh_acc_l12,0.7547527706734869,0.7499390589569161,0.8403983343343379,0.7277418414918415,0.8558958285356107,1792,20,0.7010230179028132
A_K10_l10_lt16,0.747463768115942,0.7497392290249433,0.8354989278598867,0.7298301698301698,0.8476549407862644,1792,10,0.7010230179028134
A_K10_l11_lt32,0.7417092924126172,0.7496159297052154,0.8346314016632999,0.7434007659007659,0.8393437620873154,1792,10,0.7010230179028134
B_K10_l12_lvm_n32,0.7343563512361466,0.749034155328798,0.8309399076879647,0.7447011322011322,0.8368842436157582,1842,10,0.7010230179028134
B_K10_l12_token_stats,0.7576726342710998,0.7486876417233559,0.8433608983240134,0.7341167166167166,0.8374221741125696,1867,10,0.7010230179028134
B_K10_l12_no_token,0.7591219096334186,0.7483864795918367,0.8439985665789494,0.7368040293040293,0.8443301325249436,1942,10,0.7010230179028134
B_K10_p14_12_lvm,0.7373614663256607,0.7480860260770975,0.8318803701023569,0.7235064935064935,0.875606566149098,3634,10,0.7010230179028134
E_RK10x2_l12_lvm,0.749648337595908,0.7475967261904762,0.8392425164957658,0.7336009823509823,0.8410968066565552,1842,20,0.7010230179028132
B_K10_l12_norms_drift,0.7532821824381928,0.7471364795918367,0.8432872314628934,0.7350632700632701,0.8456044874386522,1890,10,0.7010230179028134
D_K10_hidden512_l12,0.7359335038363171,0.7470259353741496,0.8351898764924683,0.7252206127206128,0.8677017165989149,1792,10,0.7010230179028134
D_K10_layers3_h128,0.743158567774936,0.7470082199546486,0.8340339354103495,0.7376332001332002,0.8402733607727482,1792,10,0.7010230179028134
B_K10_l12_drift_lvm,0.7446078431372548,0.7469649943310658,0.8377602077474882,0.7371886446886446,0.8469849597809789,1890,10,0.7010230179028134
F_RK10x2_l12_fullcombo_seed5,0.7437872975277068,0.7469253117913833,0.8385490185163809,0.7413078588078588,0.895779459135374,3584,20,0.7010230179028132
A_K10_l13_lt16,0.7489343563512361,0.7455484693877551,0.8424579567014391,0.7179786879786879,0.8461842454540915,1792,10,0.7010230179028134
B_K10_t_lvm,0.746078431372549,0.7454613095238096,0.8385729691022524,0.7288103563103563,0.8554980437102782,5426,10,0.7010230179028134
A_K10_l08_lt16,0.7533034953111679,0.7451665249433106,0.8434989016638708,0.7248243423243423,0.8525622546776358,1792,10,0.7010230179028134
C_K10_t_full_combo,0.7489343563512361,0.7451275510204082,0.8410459265308544,0.7170854145854146,0.8778748032804586,10752,10,0.7010230179028134
C_l12_last_weighted,0.7692307692307693,0.7450287229341582,0.8481012658227848,0.7348652231551038,0.8137570062644247,1792,1,0.7019230769230769
F_K10_l12_fullcombo_lvm_seed5,0.7358056265984655,0.7449369331065758,0.8363637618990178,0.7257842157842158,0.8982011246502332,3634,10,0.7010230179028134
A_K10_t_15_12_9_lt16,0.7460571184995738,0.7449043367346938,0.836517610637797,0.7300865800865801,0.8534709013223652,5376,10,0.7010230179028134
A_K10_l11_lt16,0.7518115942028987,0.7446279761904762,0.8403112835206098,0.7276823176823177,0.8371173862236214,1792,10,0.7010230179028134
B_K10_p14_12_all,0.7329070758738279,0.7438229875283446,0.8317457192138864,0.7207201132201132,0.8680739346528504,3809,10,0.7010230179028134
A_K10_q_16_13_10_7_lt16,0.7474850809889173,0.7437577947845806,0.8373531997098128,0.7294671994671995,0.8727095389055222,7168,10,0.7010230179028134
A_K10_l09_lt16,0.7459505541346975,0.7435976473922902,0.8402468107885847,0.7135656010656011,0.846610273175345,1792,10,0.7010230179028134
E_RK10x2_t14_12_10_lt16,0.7308184143222505,0.7434474206349206,0.8293895607166688,0.7321003996003996,0.8703323267202874,5376,20,0.7010230179028132
C_K10_l12_full_combo,0.7300724637681159,0.7433212868480725,0.8297459389787815,0.7326023976023976,0.8848983564301063,3584,10,0.7010230179028134
D_K10_hidden128_l12,0.7445652173913043,0.7430704365079366,0.8398761932858623,0.731530969030969,0.8536371514467687,1792,10,0.7010230179028134
B_K10_l11_norms_lvm,0.7533248081841433,0.7430286281179139,0.8414429214875208,0.7338120213120213,0.8396296445504643,1892,10,0.7010230179028134
A_K10_l12_lt32,0.7285592497868714,0.7427147108843538,0.8269418564387718,0.7401590076590077,0.8351596341023171,1792,10,0.7010230179028134
B_K10_l12_norms_lvm,0.7445865302642797,0.7426955782312925,0.8376239342254783,0.7355294705294706,0.8465318002541885,1892,10,0.7010230179028134
D_thresh_acc_l12,0.7307692307692307,0.7423773751657093,0.8055555555555556,0.7476800707026071,0.8180019782393669,1792,1,0.7019230769230769
D_thresh_balacc_l12,0.6730769230769231,0.7423773751657093,0.746268656716418,0.7476800707026071,0.8180019782393669,1792,1,0.7019230769230769
B_K10_l12_norms,0.7504475703324808,0.7422689909297053,0.8378831114643303,0.7333483183483184,0.8370458362547806,1842,10,0.7010230179028134
D_wd_1e3_l12,0.7596153846153846,0.7419354838709679,0.8484848484848485,0.7481219619973486,0.8170540718760305,1792,1,0.7019230769230769
B_K10_l12_all,0.7460144927536232,0.7416432823129251,0.8375978087434921,0.7210989010989012,0.840543073696697,2017,10,0.7010230179028134
A_K10_t_16_12_8_lt16,0.7344629156010231,0.7416425736961451,0.8317429535594865,0.7267307692307693,0.8569777103222197,5376,10,0.7010230179028134
B_K10_t_norms,0.7431798806479113,0.7415823412698412,0.8384107416298141,0.7343822843822844,0.8641957082455349,5426,10,0.7010230179028134
B_K10_l12_global_all,0.7488917306052856,0.7412960600907029,0.8403533053490542,0.717877122877123,0.8370576232613939,2017,10,0.7010230179028134
B_K10_l12_drift,0.7489556692242114,0.7411940192743764,0.8413688090472722,0.7275399600399601,0.8416742780344034,1840,10,0.7010230179028134
C_K10_l12_last_weighted,0.7561807331628303,0.7409934807256237,0.8408071867978293,0.7178346653346653,0.8331439405219943,1792,10,0.7010230179028134
B_K10_l14_all,0.7402600170502984,0.7409785997732425,0.8378905620008524,0.7145362970362971,0.8486137920041992,2017,10,0.7010230179028134
B_K10_l12_global_lvm,0.7474850809889173,0.7408184523809525,0.8373168729379629,0.732037962037962,0.8375444543482962,1842,10,0.7010230179028134
B_K10_l11_norms,0.7518329070758738,0.7406009070294785,0.8414374689601004,0.7322294372294372,0.8342165456635205,1842,10,0.7010230179028134
C_K10_l12_lt_gap,0.7402813299232736,0.7404102891156462,0.8329502542719153,0.7273418248418249,0.8493619741667322,2688,10,0.7010230179028134
B_K10_t_all,0.7416879795396419,0.7402210884353742,0.8324858625310375,0.7264951714951715,0.8651919998138163,5601,10,0.7010230179028134
B_K10_l12_lvm,0.7489769820971867,0.7400340136054421,0.8374871416291384,0.730934065934066,0.8378411851637055,1842,10,0.7010230179028134
F_K10_l12_lvm_thresh_acc,0.7489769820971867,0.7400340136054421,0.8374871416291384,0.730934065934066,0.8378411851637055,1842,10,0.7010230179028134
A_K10_l10_lt8,0.7547314578005115,0.7389030612244898,0.8463452558313019,0.7252139527139527,0.842291851891457,1792,10,0.7010230179028134
E_RK10x2_l12_full_combo,0.7278985507246377,0.7388183815192744,0.8263952101224481,0.7391346153846154,0.881949139059673,3584,20,0.7010230179028132
A_K10_l11_lt8,0.7518329070758738,0.7383241213151928,0.8447779286347041,0.7278413253413254,0.843863206874713,1792,10,0.7010230179028134
C_K10_l11_weighted,0.7343989769820972,0.7377905328798187,0.8310462735949582,0.7472227772227773,0.818392910602034,896,10,0.7010230179028134
E_RK5x3_seed5_l12,0.7406925491025775,0.7372452198687426,0.837242625601029,0.7275402298850575,0.884914842428928,1792,15,0.7010155506188511
B_K10_t_norms_lvm,0.7344842284739983,0.7371789965986395,0.8317935129050106,0.7433133533133534,0.8639273971910842,5476,10,0.7010230179028134
A_K10_l14_lt16,0.7402387041773231,0.7369770408163264,0.8392018736277949,0.7166949716949718,0.8415641916244052,1792,10,0.7010230179028134
E_RK10x2_l11_lt8,0.7503729752770674,0.7366811933106575,0.8412583576887267,0.727819264069264,0.8573010424956846,1792,20,0.7010230179028132
E_RK10x2_p14_12_lt16,0.7337382779198636,0.7366485969387756,0.8296085988820752,0.731826506826507,0.8581540546038415,3584,20,0.7010230179028132
A_K10_p_dense_13_11_lt16,0.7460571184995738,0.7364292800453514,0.8354360318679113,0.7346520146520147,0.8605493786548134,5376,10,0.7010230179028134
B_K10_l11_lvm,0.7445439045183291,0.7363910147392291,0.8375729145637344,0.7315700965700966,0.8407170417802877,1842,10,0.7010230179028134
A_K10_p_15_11_lt16,0.7416666666666666,0.7362825963718821,0.8376915973316347,0.7225824175824177,0.8487748523355565,3584,10,0.7010230179028134
E_RK5x3_l12_norms,0.7368207623682075,0.7362711625244629,0.835651129178869,0.7150344827586206,0.8574896124742604,1842,15,0.7010155506188511
B_K10_l14_lvm,0.7402173913043478,0.7359849773242629,0.8402210599702042,0.7172943722943723,0.8338609158376407,1842,10,0.7010230179028134
B_K10_l12_minimal_n8,0.7504049445865303,0.7358857709750567,0.8431104304850165,0.7193173493173493,0.8465151425202396,1892,10,0.7010230179028134
A_K10_l12_lt8,0.7634697357203751,0.7356646825396826,0.847673835472824,0.7115859140859142,0.838225316539552,1792,10,0.7010230179028134
F_K10_lin_l12_lvm,0.7416666666666666,0.7356009070294784,0.8367842602268812,0.7255794205794206,0.8328659263385519,1842,10,0.7010230179028134
D_hidden384_l12,0.7692307692307693,0.7353071144498453,0.8421052631578947,0.7498895271763146,0.8481495219254863,1792,1,0.7019230769230769
C_l12_last_gap,0.7307692307692307,0.7348652231551038,0.8352941176470589,0.7361908970393284,0.8297683811407848,1792,1,0.7019230769230769
A_K10_l15_lt16,0.7373614663256608,0.7344706632653061,0.8354434385656759,0.7060547785547785,0.8443127916608566,1792,10,0.7010230179028134
C_K10_l12_weighted,0.7315217391304347,0.7340858843537414,0.8316679789023527,0.7383424908424908,0.8243314323796328,896,10,0.7010230179028134
B_K10_l11_lvm_n8,0.7416027280477409,0.7334573412698412,0.839016102366927,0.7238653013653014,0.8436048615598801,1842,10,0.7010230179028134
A_K10_l08_lt8,0.746078431372549,0.7334509637188209,0.8427299500639391,0.7117590742590743,0.8473209578828598,1792,10,0.7010230179028134
E_RK5x3_l12_lvm,0.7295673331217603,0.7331290169799095,0.8304176351404796,0.7066206896551724,0.8506961506083994,1842,15,0.7010155506188511
F_K10_lin_l12_fullcombo,0.7387894288150043,0.7327140022675737,0.8328622008800973,0.728449050949051,0.8743944159685828,3584,10,0.7010230179028134
A_K10_l09_lt8,0.7445012787723786,0.7325212585034014,0.8395429081950615,0.7078521478521478,0.8296708528642973,1792,10,0.7010230179028134
C_l12_lt_tail_first,0.75,0.7322138753866549,0.8333333333333334,0.7728678745028722,0.8549497197494231,2688,1,0.7019230769230769
C_l12_full_combo,0.7884615384615384,0.7322138753866548,0.8571428571428571,0.7379584622182943,0.8717647543686118,3584,1,0.7019230769230769
E_RK5x3_l11_lt16,0.7343665150393175,0.7319385241594194,0.8317503391657489,0.7152643678160919,0.8514082050818259,1792,15,0.7010155506188511
D_dropout01_l12,0.7980769230769231,0.7313300927971719,0.8679245283018868,0.7375165709235528,0.8573400923178371,1792,1,0.7019230769230769
B_K10_l12_lvm_n8,0.7562233589087808,0.7300800736961451,0.8466153081036438,0.714938394938395,0.8320537516296019,1842,10,0.7010230179028134
F_K10_lin_l11_weighted,0.7388320545609548,0.7299156746031746,0.8328352044342994,0.7134498834498835,0.8325124110390263,1792,10,0.7010230179028134
A_K10_l11_lt4,0.7430946291560103,0.7298929988662132,0.8372045318902683,0.7214735264735265,0.8229678686302476,1792,10,0.7010230179028134
A_K10_p_16_12_lt16,0.72576726342711,0.729280753968254,0.8233186092985392,0.7118689643689644,0.8551086928375075,3584,10,0.7010230179028134
C_l12_lt_gap,0.7692307692307693,0.728678745028723,0.8518518518518519,0.7357490057445869,0.8502307945928125,2688,1,0.7019230769230769
D_seed7_l12_lt16,0.7788461538461539,0.7286787450287229,0.8456375838926175,0.7375165709235529,0.8643257500824266,1792,1,0.7019230769230769
E_RK5x3_l12_lt16,0.7315067527063718,0.7284136305249895,0.8320387684154469,0.7154022988505748,0.8496854760559979,1792,15,0.7010155506188511
A_K10_l14_lt8,0.7300937766410912,0.7282688492063493,0.8292444628862601,0.7015059940059941,0.8341820976097892,1792,10,0.7010230179028134
E_RK5x3_l12_full_combo,0.7339081067738636,0.7273427158209973,0.8340947982734608,0.7047816091954023,0.8643662581663801,3584,15,0.7010155506188511
A_K10_l13_lt8,0.7243179880647912,0.7265844671201814,0.8281806933440217,0.706407758907759,0.843866049234656,1792,10,0.7010230179028134
D_hidden512_l12,0.7403846153846154,0.725143614670791,0.8383233532934131,0.7030490499337163,0.8612553577316189,1792,1,0.7019230769230769
C_K10_p14_12_weighted,0.7416453537936915,0.7249617346938775,0.8408707527753314,0.7117990342990343,0.8519017127439067,3584,10,0.7010230179028134
E_RK5x3_l11_lt8,0.7469797947741458,0.7244852054405424,0.8412712051427963,0.7110344827586206,0.853004648027445,1792,15,0.7010155506188511
D_seed3_l12_lt16,0.7692307692307693,0.7242598320813081,0.8421052631578947,0.7401679186920017,0.8582467853610287,1792,1,0.7019230769230769
